season,fullName,Current_Team,Team_in_2023,position,Starting_11,Batting_FP,Bowling_FP,Fielding_FP,Total_FP,AverageFantasyPointsin2021,AverageFantasyPointsin2022,AverageFantasyPointsin2023,Average_Fantasy_Points_2024,Consistency_Rating,ceiling_average,Tot_60_plus_scores,Upside_Score,Risk.Rating
2023,Atharva Taide,Punjab Kings,Punjab Kings,Allrounder,56,500,0,80,636.0,,,45.43,,57,84.67,3,33.33 %,High
2024,Atharva Taide,Punjab Kings,Punjab Kings,Allrounder,16,182,8,0,190.0,,,,47.5,57,84.67,3,33.33 %,High
2024,Avesh Khan,Rajasthan Royals,Lucknow Super Giants,Bowler,32,80,2400,0,2480.0,,,,41.33,70,112.67,15,28.3 %,Low
2022,Avesh Khan,Rajasthan Royals,Lucknow Super Giants,Bowler,208,112,2032,64,2416.0,,46.46,,,70,112.67,15,28.3 %,Low
2021,Avesh Khan,Rajasthan Royals,Lucknow Super Giants,Bowler,256,24,2800,32,3112.0,48.62,,,,70,112.67,15,28.3 %,Low
2023,Avesh Khan,Rajasthan Royals,Lucknow Super Giants,Bowler,144,0,736,64,944.0,,,26.22,,70,112.67,15,28.3 %,Low
2024,Axar Patel,Delhi Capitals,Delhi Capitals,Allrounder,192,1444,1484,0,2928.0,,,,52.29,74,112.0,20,37.04 %,Low
2022,Axar Patel,Delhi Capitals,Delhi Capitals,Allrounder,224,984,728,288,2224.0,,39.71,,,74,112.0,20,37.04 %,Low
2023,Axar Patel,Delhi Capitals,Delhi Capitals,Allrounder,224,1504,1348,224,3300.0,,,58.93,,74,112.0,20,37.04 %,Low
2021,Axar Patel,Delhi Capitals,Delhi Capitals,Allrounder,192,152,1788,152,2284.0,47.58,,,,74,112.0,20,37.04 %,Low
2024,Ayush Badoni,Lucknow Super Giants,Lucknow Super Giants,Batsman,144,1041,24,0,1065.0,,,,29.58,63,82.0,5,13.89 %,High
2022,Ayush Badoni,Lucknow Super Giants,Lucknow Super Giants,Batsman,144,594,174,210,1122.0,,31.17,,,63,82.0,5,13.89 %,High
2023,Ayush Badoni,Lucknow Super Giants,Lucknow Super Giants,Batsman,144,909,0,48,1101.0,,,30.58,,63,82.0,5,13.89 %,High
2023,Bhuvneshwar Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowler,224,176,1800,88,2288.0,,,40.86,,65,121.0,5,9.09 %,Medium
2022,Bhuvneshwar Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowler,224,108,1392,112,1836.0,,32.79,,,65,121.0,5,9.09 %,Medium
2021,Bhuvneshwar Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowler,176,156,704,0,1036.0,23.55,,,,65,121.0,5,9.09 %,Medium
2024,Bhuvneshwar Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad,Bowler,80,196,1420,0,1616.0,,,,25.25,65,121.0,5,9.09 %,Medium
2023,Cameron Green,Royal Challengers Bengaluru,Mumbai Indians,Allrounder,128,1220,280,92,1720.0,,,53.75,,78,138.67,12,41.38 %,Low
2024,Cameron Green,Royal Challengers Bengaluru,Mumbai Indians,Allrounder,96,774,604,0,1378.0,,,,53.0,78,138.67,12,41.38 %,Low
2023,Chris Jordan,Mumbai Indians,Mumbai Indians,Bowler,72,18,225,24,339.0,,,18.83,,54,61.33,1,7.14 %,High
2022,Chris Jordan,Mumbai Indians,Mumbai Indians,Bowler,48,33,126,114,321.0,,26.75,,,54,61.33,1,7.14 %,High
2021,Chris Jordan,Mumbai Indians,Mumbai Indians,Bowler,48,141,300,0,489.0,40.75,,,,54,61.33,1,7.14 %,High
2022,Darshan Nalkande,Gujarat Titans,,Bowler,24,0,126,0,150.0,,25.0,,,52,50.33,1,16.67 %,High
2023,Darshan Nalkande,Gujarat Titans,,Bowler,12,0,69,0,81.0,,,27.0,,52,50.33,1,16.67 %,High
2024,Darshan Nalkande,Gujarat Titans,,Bowler,12,60,261,0,321.0,,,,35.67,52,50.33,1,16.67 %,High
2022,Daryl Mitchell,Chennai Super Kings,,Allrounder,16,64,0,32,112.0,,28.0,,,60,77.33,3,20 %,High
2024,Daryl Mitchell,Chennai Super Kings,,Allrounder,104,928,66,0,994.0,,,,38.23,60,77.33,3,20 %,High
2021,David Miller,Gujarat Titans,Gujarat Titans,Batsman,128,588,0,152,868.0,27.12,,,,66,112.67,10,20.83 %,Medium
2022,David Miller,Gujarat Titans,Gujarat Titans,Batsman,256,2524,0,240,3020.0,,47.19,,,66,112.67,10,20.83 %,Medium
2024,David Miller,Gujarat Titans,Gujarat Titans,Batsman,144,1272,0,0,1272.0,,,,35.33,66,112.67,10,20.83 %,Medium
