BatsmanName,venue,city,TotalBatsmenRuns_Venue,TotalBatsmenSixes_Venue,TotalBatsmenFours_Venue,TotalBallsFaced_Venue,TotalDotBalls_Venue,DotBallPercentage_Venue,BoundaryPercentage_Venue,TotalInnings_Venue,NumberOfOuts_Venue,NotOuts_Venue,BattingStrikeRate_Venue,BattingAverage_Venue
Babar Azam,Dubai International Cricket Stadium,Dubai,217,2,21,187,77,41.18,44.24,7,6,1,116.04,36.17
Babar Azam,Eden Park,Auckland,57,2,6,35,9,25.71,63.16,1,1,0,162.86,57
Babar Azam,Gaddafi Stadium,Lahore,326,9,34,227,72,31.72,58.28,10,8,2,143.61,40.75
Babar Azam,Hagley Oval,Christchurch,224,1,33,190,86,45.26,61.61,7,6,1,117.89,37.33
Babar Azam,Harare Sports Club,Harare,95,0,10,95,36,37.89,42.11,3,3,0,100,31.67
Babar Azam,Headingley,Leeds,22,0,3,16,6,37.5,54.55,1,1,0,137.5,22
Babar Azam,Melbourne Cricket Ground,Melbourne,32,0,2,29,11,37.93,25,2,2,0,110.34,16
Babar Azam,National Stadium,Karachi,271,7,28,186,53,28.49,56.83,7,5,2,145.7,54.2
Babar Azam,Old Trafford,Manchester,88,0,11,75,27,36,50,3,3,0,117.33,29.33
Babar Azam,Perth Stadium,Perth,8,0,2,14,13,92.86,100,2,2,0,57.14,4
Babar Azam,Providence Stadium,Guyana,51,2,4,40,13,32.5,54.9,1,1,0,127.5,51
Babar Azam,Rawalpindi Cricket Stadium,Rawalpindi,152,2,20,101,26,25.74,60.53,3,3,0,150.5,50.67
Babar Azam,Seddon Park,Hamilton,66,2,7,43,9,20.93,60.61,1,1,0,153.49,66
Babar Azam,Sharjah Cricket Stadium,Sharjah,84,3,7,67,29,43.28,54.76,4,4,0,125.37,21
Babar Azam,Shere Bangla National Stadium,Dhaka,27,0,3,40,24,60,44.44,3,3,0,67.5,9
Babar Azam,SuperSport Park,Centurion,146,4,18,82,21,25.61,65.75,2,2,0,178.05,73
Babar Azam,Sydney Cricket Ground,Sydney,59,0,7,57,24,42.11,47.46,2,2,0,103.51,29.5
Babar Azam,The Wanderers Stadium,Johannesburg,64,0,8,64,27,42.19,50,2,2,0,100,32
Babar Azam,Trent Bridge,Nottingham,85,3,8,49,11,22.45,58.82,1,1,0,173.47,85
Babar Azam,University Oval,Dunedin,58,1,8,37,10,27.03,65.52,1,1,0,156.76,58
Babar Azam,Zayed Cricket Stadium,Abu Dhabi,70,0,7,49,12,24.49,40,1,1,0,142.86,70
Basil Hameed,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Muscat,100,3,3,87,25,28.74,30,10,10,0,114.94,10
Basil Hameed,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Muscat,11,1,0,7,3,42.86,54.55,2,2,0,157.14,5.5
Basil Hameed,Dubai International Cricket Stadium,Dubai,93,1,6,106,47,44.34,32.26,7,6,1,87.74,15.5
Basil Hameed,GMHBA Stadium,Geelong,31,2,3,24,15,62.5,77.42,3,2,1,129.17,15.5
Basil Hameed,ICC Academy,Dubai,54,4,1,35,12,34.29,51.85,3,1,2,154.29,54
Basil Hameed,Mulpani Cricket Ground,Kathmandu,208,14,11,148,64,43.24,61.54,8,4,4,140.54,52
Basil Hameed,Sharjah Cricket Stadium,Sharjah,35,2,2,41,24,58.54,57.14,3,3,0,85.37,11.67
Basil Hameed,Tribhuvan University International Cricket Ground,Nepal,22,2,0,16,5,31.25,54.55,1,1,0,137.5,22
Basil Hameed,West End Park International Cricket Stadium,Qatar,65,3,4,49,18,36.73,52.31,3,1,2,132.65,65
Basil Hameed,Zayed Cricket Stadium,Abu Dhabi,3,0,0,5,3,60,0,2,2,0,60,1.5
Cameron Green,Adelaide Oval,Adelaide,3,0,0,2,1,50,0,1,1,0,150,3
Cameron Green,Brisbane Cricket Ground,Brisbane,1,0,0,4,3,75,0,1,1,0,25,1
Cameron Green,Carrara Oval,Carrara,14,1,1,10,4,40,71.43,1,1,0,140,14
Cameron Green,Gaddafi Stadium,Lahore,2,0,0,7,5,71.43,0,1,1,0,28.57,2
Cameron Green,Perth Stadium,Perth,1,0,0,2,2,100,0,1,1,0,50,1
Cameron Green,Punjab Cricket Association IS Bindra Stadium,Mohali,61,4,8,30,13,43.33,91.8,1,1,0,203.33,61
Cameron Green,Rajiv Gandhi International Stadium,Hyderabad,52,3,7,21,8,38.1,88.46,1,1,0,247.62,52
Cameron Green,Vidarbha Cricket Association Stadium,Vidarbha,5,0,1,4,2,50,80,1,1,0,125,5
Chamika Karunaratne,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,21,2,0,14,5,35.71,57.14,1,1,0,150,21
Chamika Karunaratne,Dubai International Cricket Stadium,Dubai,70,2,5,68,31,45.59,45.71,4,1,3,102.94,70
Chamika Karunaratne,GMHBA Stadium,Geelong,15,0,1,21,10,47.62,26.67,3,2,1,71.43,7.5
Chamika Karunaratne,Himachal Pradesh Cricket Association Stadium,Dharamshala,12,0,0,19,10,52.63,0,1,,,63.16,
Chamika Karunaratne,Maharashtra Cricket Association Stadium,Pune,11,0,1,10,5,50,36.36,1,,,110,
Chamika Karunaratne,Manuka Oval,Canberra,8,0,1,11,6,54.55,50,1,1,0,72.73,8
Chamika Karunaratne,Melbourne Cricket Ground,Melbourne,15,1,1,8,1,12.5,66.67,2,1,1,187.5,15
Chamika Karunaratne,Pallekele International Cricket Stadium,Pallekele,14,0,2,10,3,30,57.14,1,,,140,
Chamika Karunaratne,Perth Stadium,Perth,14,0,2,7,4,57.14,57.14,1,,,200,
Chamika Karunaratne,R Premadasa Stadium,Colombo,70,5,1,59,28,47.46,48.57,7,4,3,118.64,17.5
Chamika Karunaratne,Saurashtra Cricket Association Stadium,Saurashtra,0,0,0,2,2,100,,1,1,0,0,0
Chamika Karunaratne,Sharjah Cricket Stadium,Sharjah,10,0,1,9,3,33.33,40,3,2,1,111.11,5
Chamika Karunaratne,Sydney Cricket Ground,Sydney,3,0,0,14,14,100,0,4,4,0,21.43,0.75
Chamika Karunaratne,Wankhede Stadium,Mumbai,23,2,0,16,4,25,52.17,1,1,0,143.75,23
Chamika Karunaratne,Zayed Cricket Stadium,Abu Dhabi,5,0,0,6,3,50,0,2,1,1,83.33,5
Chetan Sakariya,R Premadasa Stadium,Colombo,5,0,0,9,5,55.56,0,1,,,55.56,
Colin de Grandhomme,Shere Bangla National Stadium,Dhaka,18,1,0,25,13,52,33.33,5,5,0,72,3.6
Chris Sole,Grange Cricket Club Ground,Edinburgh,2,0,0,1,,,0,1,,,200,
Lahiru Kumara,Sharjah Cricket Stadium,Sharjah,1,0,0,3,2,66.67,0,2,1,1,33.33,1
Lahiru Kumara,Sydney Cricket Ground,Sydney,4,0,1,5,4,80,100,1,1,0,80,4
Cole McConchie,Dubai International Cricket Stadium,Dubai,40,0,1,38,8,21.05,10,2,1,1,105.26,40
Cole McConchie,Gaddafi Stadium,Lahore,12,0,2,9,4,44.44,66.67,1,1,0,133.33,12
Cole McConchie,Shere Bangla National Stadium,Dhaka,32,0,3,28,13,46.43,37.5,4,2,2,114.29,16
Chris Gayle,Coolidge Cricket Ground,Antigua,29,1,3,37,25,67.57,62.07,3,3,0,78.38,9.67
Chris Gayle,Daren Sammy National Cricket Stadium,Saint Lucia,106,9,9,74,44,59.46,84.91,5,5,0,143.24,21.2
Chris Gayle,Dubai International Cricket Stadium,Dubai,25,1,3,25,16,64,72,2,2,0,100,12.5
Chris Gayle,Kensington Oval,Barbados,7,1,0,7,5,71.43,85.71,1,1,0,100,7
Chris Gayle,National Cricket Stadium,Grenada,56,4,3,47,23,48.94,64.29,4,3,1,119.15,18.67
Chris Gayle,Providence Stadium,Guyana,29,1,2,28,14,50,48.28,3,3,0,103.57,9.67
Chris Gayle,Sharjah Cricket Stadium,Sharjah,4,0,0,10,7,70,0,1,1,0,40,4
Chris Gayle,Zayed Cricket Stadium,Abu Dhabi,16,2,0,14,9,64.29,75,2,2,0,114.29,8
Corey Anderson,Prairie View Cricket Complex,Houston,83,2,8,77,36,46.75,53.01,2,2,0,107.79,41.5
Chad Bowes,Dubai International Cricket Stadium,Dubai,30,1,3,31,17,54.84,60,3,3,0,96.77,10
Chad Bowes,Eden Park,Auckland,2,0,0,3,1,33.33,0,1,1,0,66.67,2
Chad Bowes,Gaddafi Stadium,Lahore,34,0,4,38,18,47.37,47.06,3,3,0,89.47,11.33
Chad Bowes,John Davies Oval,Queenstown,17,0,2,18,8,44.44,47.06,1,1,0,94.44,17
Chad Bowes,Rawalpindi Cricket Stadium,Rawalpindi,73,1,11,51,19,37.25,68.49,2,2,0,143.14,36.5
Chad Bowes,University Oval,Dunedin,31,0,7,15,7,46.67,90.32,1,1,0,206.67,31
Chris Green,Shaheed Veer Narayan Singh International Stadium,Raipur,2,0,0,3,1,33.33,0,1,,,66.67,
Chris Jordan,Boland Park,Paarl,3,0,0,3,1,33.33,0,1,,,100,
Chris Jordan,County Ground,Bristol,0,0,0,1,1,100,,1,,,0,
Chris Jordan,Edgbaston,Birmingham,3,0,0,4,1,25,0,2,2,0,75,1.5
Chris Jordan,Headingley,Leeds,14,1,1,8,3,37.5,71.43,1,1,0,175,14
Chris Jordan,Kensington Oval,Barbados,62,4,3,48,22,45.83,58.06,3,3,0,129.17,20.67
Chris Jordan,Manuka Oval,Canberra,7,1,0,3,1,33.33,85.71,1,,,233.33,
Chris Jordan,Narendra Modi Stadium,Ahmedabad,23,1,1,19,8,42.11,43.48,2,2,0,121.05,11.5
Chris Jordan,Old Trafford,Manchester,7,0,0,7,4,57.14,0,3,1,2,100,7
Chris Jordan,Sharjah Cricket Stadium,Sharjah,0,0,0,1,1,100,,1,1,0,0,0
Chris Jordan,Shere Bangla National Stadium,Dhaka,5,0,0,14,10,71.43,0,2,1,1,35.71,5
Chris Jordan,Sophia Gardens,Wales,5,0,1,4,2,50,80,1,1,0,125,5
Chris Jordan,The Rose Bowl,Southampton,66,1,7,42,9,21.43,51.52,5,2,3,157.14,33
Chris Jordan,Trent Bridge,Nottingham,11,1,1,3,,,90.91,1,1,0,366.67,11
Chris Jordan,Zahur Ahmed Chowdhury Stadium,Chittagong,5,0,1,3,1,33.33,80,1,,,166.67,
Colin Ackermann,Adelaide Oval,Adelaide,42,2,3,31,12,38.71,57.14,2,1,1,135.48,42
Colin Ackermann,Bellerive Oval,Tasmania,62,2,6,48,19,39.58,58.06,1,1,0,129.17,62
Colin Ackermann,GMHBA Stadium,Geelong,17,0,1,22,10,45.45,23.53,3,3,0,77.27,5.67
Colin Ackermann,Perth Stadium,Perth,27,0,2,27,10,37.04,29.63,1,1,0,100,27
Colin Ackermann,Sharjah Cricket Stadium,Sharjah,11,1,1,9,6,66.67,90.91,1,1,0,122.22,11
Colin Ackermann,Sydney Cricket Ground,Sydney,17,0,1,21,10,47.62,23.53,1,1,0,80.95,17
Colin Ackermann,Zayed Cricket Stadium,Abu Dhabi,46,1,2,48,22,45.83,30.43,2,2,0,95.83,23
Chris Woakes,Brian Lara Stadium,Trinidad & Tobago,2,0,0,6,4,66.67,0,1,1,0,33.33,2
Chris Woakes,Gaddafi Stadium,Lahore,10,0,1,12,6,50,40,1,1,0,83.33,10
Chris Woakes,Kensington Oval,Barbados,3,0,0,6,3,50,0,1,,,50,
Chris Woakes,National Cricket Stadium,Grenada,2,0,0,5,3,60,0,1,1,0,40,2
Chris Woakes,Perth Stadium,Perth,13,1,1,5,1,20,76.92,1,,,260,
Chris Woakes,Sharjah Cricket Stadium,Sharjah,7,1,0,3,1,33.33,85.71,1,1,0,233.33,7
Chris Woakes,Shere Bangla National Stadium,Dhaka,13,0,2,12,6,50,61.54,2,1,1,108.33,13
Chris Woakes,Sydney Cricket Ground,Sydney,5,0,1,3,1,33.33,80,1,,,166.67,
Chris Woakes,Zahur Ahmed Chowdhury Stadium,Chittagong,1,0,0,2,1,50,0,1,1,0,50,1
Calum MacLeod,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Muscat,15,0,1,25,13,52,26.67,2,2,0,60,7.5
Calum MacLeod,Bellerive Oval,Tasmania,48,0,5,43,16,37.21,41.67,3,2,1,111.63,24
Calum MacLeod,Dubai International Cricket Stadium,Dubai,28,0,0,43,17,39.53,0,2,2,0,65.12,14
Calum MacLeod,Grange Cricket Club Ground,Edinburgh,78,2,7,68,27,39.71,51.28,4,3,1,114.71,26
Calum MacLeod,ICC Academy,Dubai,27,0,1,28,10,35.71,14.81,1,,,96.43,
Calum MacLeod,Sharjah Cricket Stadium,Sharjah,0,0,0,1,1,100,,1,1,0,0,0
Calum MacLeod,Zayed Cricket Stadium,Abu Dhabi,0,0,0,2,4,200,,1,1,0,0,0
Varun Chakravarthy,R Premadasa Stadium,Colombo,0,0,0,2,2,100,,1,1,0,0,0
Chirag Suri,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Muscat,287,9,28,223,93,41.7,57.84,10,9,1,128.7,31.89
Chirag Suri,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Muscat,26,1,3,24,15,62.5,69.23,1,1,0,108.33,26
Chirag Suri,Dubai International Cricket Stadium,Dubai,44,0,8,34,16,47.06,72.73,2,2,0,129.41,22
Chirag Suri,GMHBA Stadium,Geelong,26,0,4,39,30,76.92,61.54,2,2,0,66.67,13
Chirag Suri,ICC Academy,Dubai,71,1,6,68,28,41.18,42.25,3,3,0,104.41,23.67
Dewald Brevis,Kingsmead,Durban,5,0,0,7,3,42.86,0,2,2,0,71.43,2.5
Dane Cleaver,Civil Service Cricket Club,Belfast,88,4,6,68,28,41.18,54.55,3,2,1,129.41,44
Dane Cleaver,Dubai International Cricket Stadium,Dubai,4,0,0,8,4,50,0,2,2,0,50,2
Dane Cleaver,Grange Cricket Club Ground,Edinburgh,28,1,4,16,7,43.75,78.57,1,1,0,175,28
Dane Cleaver,Sportpark Westvliet,Voorburg,2,0,0,9,7,77.78,0,1,1,0,22.22,2
Donovan Ferreira,Kingsmead,Durban,48,5,1,21,5,23.81,70.83,1,,,228.57,
Donovan Ferreira,The Wanderers Stadium,Johannesburg,12,1,0,11,5,45.45,50,1,1,0,109.09,12
Dean Foxcroft,Dubai International Cricket Stadium,Dubai,10,0,0,10,2,20,0,1,1,0,100,10
Duan Jansen,Kerava National Cricket Ground,Finland,35,1,0,34,14,41.18,17.14,2,2,0,102.94,17.5
Duan Jansen,La Manga Club Bottom Ground,Spain,54,1,5,63,33,52.38,48.15,3,3,0,85.71,18
Duan Jansen,Tikkurila Cricket Ground,Finland,0,0,0,2,2,100,,1,1,0,0,0
Dilshan Madushanka,Dubai International Cricket Stadium,Dubai,1,0,0,2,1,50,0,1,,,50,
Dilshan Madushanka,Saurashtra Cricket Association Stadium,Saurashtra,1,0,0,2,1,50,0,1,1,0,50,1
Dilshan Madushanka,University Oval,Dunedin,0,0,0,2,2,100,,1,1,0,0,0
Devdutt Padikkal,R Premadasa Stadium,Colombo,38,1,2,38,15,39.47,36.84,2,2,0,100,19
Dwaine Pretorius,Arun Jaitley Stadium,Delhi,29,4,1,13,7,53.85,96.55,1,1,0,223.08,29
Dwaine Pretorius,Barabati Stadium,Cuttack,4,0,1,5,4,80,100,1,1,0,80,4
Dwaine Pretorius,County Ground,Bristol,38,2,5,14,5,35.71,84.21,2,1,1,271.43,38
Dwaine Pretorius,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Vizag,20,1,2,16,9,56.25,70,1,1,0,125,20
Dwaine Pretorius,Gaddafi Stadium,Lahore,24,2,1,16,6,37.5,66.67,2,1,1,150,24
Dwaine Pretorius,R Premadasa Stadium,Colombo,10,0,1,6,2,33.33,40,1,,,166.67,
Dwaine Pretorius,Saurashtra Cricket Association Stadium,Saurashtra,0,0,0,6,6,100,,1,1,0,0,0
Dwaine Pretorius,Sharjah Cricket Stadium,Sharjah,0,0,0,1,1,100,,1,1,0,0,0
Dwaine Pretorius,Zayed Cricket Stadium,Abu Dhabi,1,0,0,2,1,50,0,1,1,0,50,1
David Wiese,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Muscat,119,8,5,85,31,36.47,57.14,5,2,3,140,59.5
David Wiese,Dubai International Cricket Stadium,Dubai,26,0,2,25,10,40,30.77,1,1,0,104,26
David Wiese,GMHBA Stadium,Geelong,66,3,4,42,12,28.57,51.52,3,2,1,157.14,33
David Wiese,ICC Academy,Dubai,10,0,2,8,4,50,80,2,2,0,125,5
David Wiese,Queens Sports Club,Bulawayo,48,1,4,48,22,45.83,45.83,5,3,2,100,16
David Wiese,Sharjah Cricket Stadium,Sharjah,44,3,2,31,13,41.94,59.09,2,1,1,141.94,44
David Wiese,Wanderers Cricket Ground,Namibia,1,0,0,3,2,66.67,0,1,1,0,33.33,1
David Wiese,Zayed Cricket Stadium,Abu Dhabi,157,8,9,122,51,41.8,53.5,5,3,2,128.69,52.33
David Miller,Adelaide Oval,Adelaide,17,0,1,17,6,35.29,23.53,1,1,0,100,17
David Miller,Arun Jaitley Stadium,Delhi,64,5,4,31,7,22.58,71.88,1,,,206.45,
David Miller,Barabati Stadium,Cuttack,20,1,1,15,5,33.33,50,1,,,133.33,
David Miller,Barsapara Cricket Stadium,Guwahati,106,7,8,47,9,19.15,69.81,1,,,225.53,
David Miller,Civil Service Cricket Club,Belfast,111,6,8,61,10,16.39,61.26,2,,,181.97,
David Miller,County Ground,Bristol,40,3,1,32,13,40.62,55,2,1,1,125,40
David Miller,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Vizag,3,0,0,5,2,40,0,1,1,0,60,3
David Miller,Gaddafi Stadium,Lahore,116,8,7,74,28,37.84,65.52,3,1,2,156.76,116
David Miller,Greenfield International Stadium,Trivandrum,0,0,0,1,1,100,,1,1,0,0,0
David Miller,Holkar Cricket Stadium,Indore,19,3,0,5,1,20,94.74,1,,,380,
David Miller,National Cricket Stadium,Grenada,52,1,2,48,13,27.08,26.92,5,4,1,108.33,13
David Miller,R Premadasa Stadium,Colombo,26,1,2,15,1,6.67,53.85,1,1,0,173.33,26
David Miller,Saurashtra Cricket Association Stadium,Saurashtra,9,1,0,7,3,42.86,66.67,1,1,0,128.57,9
David Miller,Sharjah Cricket Stadium,Sharjah,23,2,0,13,2,15.38,52.17,1,,,176.92,
David Miller,St George's Park,Port Elizabeth,17,1,1,12,4,33.33,58.82,1,1,0,141.67,17
David Miller,SuperSport Park,Centurion,58,3,5,32,9,28.12,65.52,2,2,0,181.25,29
David Miller,Sydney Cricket Ground,Sydney,2,0,0,4,2,50,0,1,,,50,
David Miller,The Rose Bowl,Southampton,22,1,3,9,3,33.33,81.82,1,1,0,244.44,22
David Miller,The Village,Dublin,28,0,3,21,4,19.05,42.86,1,1,0,133.33,28
David Miller,The Wanderers Stadium,Johannesburg,46,2,3,36,14,38.89,52.17,2,2,0,127.78,23
David Miller,Zayed Cricket Stadium,Abu Dhabi,21,0,1,20,6,30,19.05,2,1,1,105,21
David Warner,Adelaide Oval,Adelaide,47,1,8,37,24,64.86,80.85,2,2,0,127.03,23.5
David Warner,Bellerive Oval,Tasmania,70,1,12,36,10,27.78,77.14,1,1,0,194.44,70
David Warner,Brisbane Cricket Ground,Brisbane,78,3,10,48,21,43.75,74.36,2,2,0,162.5,39
David Warner,Carrara Oval,Carrara,14,0,3,6,1,16.67,85.71,1,1,0,233.33,14
David Warner,Dubai International Cricket Stadium,Dubai,186,6,20,126,38,30.16,62.37,5,5,0,147.62,37.2
David Warner,Manuka Oval,Canberra,4,0,0,11,7,63.64,0,1,1,0,36.36,4
David Warner,Pallekele International Cricket Stadium,Pallekele,39,0,6,33,15,45.45,61.54,1,1,0,118.18,39
David Warner,Perth Stadium,Perth,165,5,17,103,32,31.07,59.39,3,3,0,160.19,55
David Warner,R Premadasa Stadium,Colombo,91,1,12,54,15,27.78,59.34,2,,,168.52,
David Warner,Sky Stadium,Wellington,32,3,1,20,9,45,68.75,1,1,0,160,32
David Warner,Sydney Cricket Ground,Sydney,5,0,1,6,4,66.67,80,1,1,0,83.33,5
David Warner,The Rose Bowl,Southampton,58,0,4,50,19,38,27.59,2,2,0,116,29
David Warner,Zayed Cricket Stadium,Abu Dhabi,103,4,12,71,33,46.48,69.9,2,1,1,145.07,103
Doug Bracewell,Shere Bangla National Stadium,Dhaka,5,0,0,7,3,42.86,0,1,1,0,71.43,5
Dominic Drakes,Central Broward Regional Park Stadium Turf Ground,Florida,6,0,1,9,8,88.89,66.67,2,2,0,66.67,3
Dominic Drakes,Eden Gardens,Kolkata,4,0,1,3,2,66.67,100,1,1,0,133.33,4
Dominic Drakes,National Stadium,Karachi,5,0,1,7,5,71.43,80,2,2,0,71.43,2.5
Dwayne Bravo,Coolidge Cricket Ground,Antigua,6,0,0,22,18,81.82,0,3,2,1,27.27,3
Dwayne Bravo,Daren Sammy National Cricket Stadium,Saint Lucia,61,4,2,44,18,40.91,52.46,3,1,2,138.64,61
Dwayne Bravo,Dubai International Cricket Stadium,Dubai,13,0,2,10,4,40,61.54,2,1,1,130,13
Dwayne Bravo,National Cricket Stadium,Grenada,11,0,2,9,4,44.44,72.73,3,2,1,122.22,5.5
Dwayne Bravo,Sharjah Cricket Stadium,Sharjah,1,0,0,3,2,66.67,0,1,1,0,33.33,1
Dwayne Bravo,Zayed Cricket Stadium,Abu Dhabi,12,1,0,15,9,60,50,2,2,0,80,6
Deepak Hooda,Bay Oval,Mount Maunganui,0,0,0,1,1,100,,1,1,0,0,0
Deepak Hooda,Central Broward Regional Park Stadium Turf Ground,Florida,59,2,5,44,15,34.09,54.24,2,2,0,134.09,29.5
Deepak Hooda,Dubai International Cricket Stadium,Dubai,19,0,2,18,10,55.56,42.11,2,2,0,105.56,9.5
Deepak Hooda,Himachal Pradesh Cricket Association Stadium,Dharamshala,21,1,1,16,5,31.25,47.62,1,1,0,131.25,21
Deepak Hooda,JSCA International Stadium Complex,Ranchi,10,1,0,10,5,50,60,1,1,0,100,10
Deepak Hooda,Maharashtra Cricket Association Stadium,Pune,9,0,0,12,4,33.33,0,1,1,0,75,9
Deepak Hooda,McLean Park,Napier,9,0,0,9,2,22.22,0,1,,,100,
Deepak Hooda,Narendra Modi Stadium,Ahmedabad,2,0,0,2,,,0,1,,,100,
Deepak Hooda,Perth Stadium,Perth,0,0,0,3,3,100,,1,1,0,0,0
Deepak Hooda,Saurashtra Cricket Association Stadium,Saurashtra,4,0,1,2,1,50,100,1,1,0,200,4
Deepak Hooda,The Rose Bowl,Southampton,33,2,3,17,6,35.29,72.73,1,1,0,194.12,33
Deepak Hooda,The Village,Dublin,151,8,15,86,32,37.21,71.52,2,1,1,175.58,151
Deepak Hooda,Wankhede Stadium,Mumbai,41,4,1,23,5,21.74,68.29,1,,,178.26,
Deepak Hooda,Warner Park,St Kitts and Nevis,10,0,1,7,1,14.29,40,1,,,142.86,
Dawid Malan,Boland Park,Paarl,55,1,7,40,12,30,61.82,1,1,0,137.5,55
Dawid Malan,Brisbane Cricket Ground,Brisbane,3,0,0,1,,,0,1,,,300,
Dawid Malan,County Ground,Bristol,43,4,1,23,4,17.39,65.12,1,1,0,186.96,43
Dawid Malan,Dubai International Cricket Stadium,Dubai,8,0,1,8,3,37.5,50,1,1,0,100,8
Dawid Malan,Edgbaston,Birmingham,21,0,2,36,21,58.33,38.1,2,2,0,58.33,10.5
Dawid Malan,Gaddafi Stadium,Lahore,140,3,19,100,40,40,67.14,3,3,0,140,46.67
Dawid Malan,Headingley,Leeds,1,0,0,5,4,80,0,1,1,0,20,1
Dawid Malan,Manuka Oval,Canberra,105,4,11,68,29,42.65,64.76,2,2,0,154.41,52.5
Dawid Malan,Melbourne Cricket Ground,Melbourne,35,0,2,37,21,56.76,22.86,1,1,0,94.59,35
Dawid Malan,Narendra Modi Stadium,Ahmedabad,148,5,15,123,58,47.15,60.81,5,4,1,120.33,37
Dawid Malan,National Stadium,Karachi,34,1,4,31,18,58.06,64.71,3,3,0,109.68,11.33
Dawid Malan,Newlands,Cape Town,118,5,14,67,23,34.33,72.88,2,1,1,176.12,118
Dawid Malan,Old Trafford,Manchester,115,1,11,104,38,36.54,43.48,5,3,2,110.58,38.33
Dawid Malan,Perth Stadium,Perth,20,0,0,32,16,50,0,2,1,1,62.5,20
Dawid Malan,Riverside Ground,Chester-le-Street,54,2,5,42,21,50,59.26,1,1,0,128.57,54
Dawid Malan,Sharjah Cricket Stadium,Sharjah,39,1,4,34,18,52.94,56.41,2,2,0,114.71,19.5
Dawid Malan,Shere Bangla National Stadium,Dhaka,58,2,7,55,29,52.73,68.97,2,2,0,105.45,29
Dawid Malan,Sophia Gardens,Wales,16,0,2,23,15,65.22,50,3,3,0,69.57,5.33
Dawid Malan,The Rose Bowl,Southampton,233,7,24,166,59,35.54,59.23,6,6,0,140.36,38.83
Dawid Malan,Trent Bridge,Nottingham,104,5,10,66,32,48.48,67.31,3,3,0,157.58,34.67
Dawid Malan,Zahur Ahmed Chowdhury Stadium,Chittagong,4,0,0,7,3,42.86,0,1,1,0,57.14,4
Dawid Malan,Zayed Cricket Stadium,Abu Dhabi,69,1,7,55,18,32.73,49.28,2,1,1,125.45,69
Daryl Mitchell,Adelaide Oval,Adelaide,31,0,2,21,5,23.81,25.81,1,,,147.62,
Daryl Mitchell,Bay Oval,Mount Maunganui,29,0,1,40,16,40,13.79,3,2,1,72.5,14.5
Daryl Mitchell,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,8,0,1,13,9,69.23,50,1,1,0,61.54,8
Daryl Mitchell,Brisbane Cricket Ground,Brisbane,3,0,0,5,3,60,0,1,1,0,60,3
Daryl Mitchell,Civil Service Cricket Club,Belfast,67,1,8,52,18,34.62,56.72,3,3,0,128.85,22.33
Daryl Mitchell,Dubai International Cricket Stadium,Dubai,73,4,5,54,26,48.15,60.27,3,3,0,135.19,24.33
Daryl Mitchell,Eden Gardens,Kolkata,5,0,1,6,4,66.67,80,1,1,0,83.33,5
Daryl Mitchell,Eden Park,Auckland,139,7,10,78,13,16.67,58.99,3,3,0,178.21,46.33
Daryl Mitchell,Edgbaston,Birmingham,8,0,1,4,1,25,50,1,1,0,200,8
Daryl Mitchell,Gaddafi Stadium,Lahore,53,1,5,38,11,28.95,49.06,3,3,0,139.47,17.67
Daryl Mitchell,Grange Cricket Club Ground,Edinburgh,54,5,0,32,7,21.88,55.56,2,2,0,168.75,27
Daryl Mitchell,Hagley Oval,Christchurch,72,2,7,44,6,13.64,55.56,1,,,163.64,
Daryl Mitchell,JSCA International Stadium Complex,Ranchi,90,5,6,58,18,31.03,60,2,2,0,155.17,45
Daryl Mitchell,John Davies Oval,Queenstown,15,0,0,16,5,31.25,0,1,1,0,93.75,15
Daryl Mitchell,McLean Park,Napier,58,0,10,36,14,38.89,68.97,3,2,1,161.11,29
Daryl Mitchell,Narendra Modi Stadium,Ahmedabad,35,3,1,25,9,36,62.86,1,1,0,140,35
Daryl Mitchell,Old Trafford,Manchester,0,0,0,1,2,200,,1,1,0,0,0
Daryl Mitchell,Rawalpindi Cricket Stadium,Rawalpindi,18,0,0,24,8,33.33,0,2,2,0,75,9
Daryl Mitchell,Riverside Ground,Chester-le-Street,7,0,0,12,5,41.67,0,1,1,0,58.33,7
Daryl Mitchell,Sabina Park,Jamaica,78,5,2,48,10,20.83,48.72,3,3,0,162.5,26
Daryl Mitchell,Sawai Mansingh Stadium,Jaipur,0,0,0,1,1,100,,1,1,0,0,0
Daryl Mitchell,Seddon Park,Hamilton,17,1,1,10,2,20,58.82,1,1,0,170,17
Daryl Mitchell,Sharjah Cricket Stadium,Sharjah,46,2,3,35,12,34.29,52.17,2,2,0,131.43,23
