BatsmanName,venue,city,TotalBatsmenRuns_Venue,TotalBatsmenSixes_Venue,TotalBatsmenFours_Venue,TotalBallsFaced_Venue,TotalDotBalls_Venue,DotBallPercentage_Venue,BoundaryPercentage_Venue,TotalInnings_Venue,NumberOfOuts_Venue,NotOuts_Venue,BattingStrikeRate_Venue,BattingAverage_Venue
Adam Zampa,Daren Sammy National Cricket Stadium,Saint Lucia,4,0,0,6,2,33.33,0,2,1,1,66.67,4
Adam Zampa,Dubai International Cricket Stadium,Dubai,1,0,0,4,3,75,0,1,1,0,25,1
Adam Zampa,Eden Park,Auckland,1,0,0,3,2,66.67,0,1,1,0,33.33,1
Adam Zampa,Greenfield International Stadium,Trivandrum,1,0,0,3,2,66.67,0,1,1,0,33.33,1
Adam Zampa,Hagley Oval,Christchurch,13,0,2,8,2,25,61.54,1,,,162.5,
Adam Zampa,Shere Bangla National Stadium,Dhaka,4,0,0,5,3,60,0,2,2,0,80,2
Adam Zampa,Sydney Cricket Ground,Sydney,2,0,0,8,6,75,0,2,1,1,25,2
Gus Atkinson,Edgbaston,Birmingham,8,0,0,10,2,20,0,1,,,80,
Ashton Agar,Daren Sammy National Cricket Stadium,Saint Lucia,2,0,0,6,4,66.67,0,2,1,1,33.33,2
Ashton Agar,Dubai International Cricket Stadium,Dubai,20,2,0,20,11,55,60,1,1,0,100,20
Ashton Agar,Hagley Oval,Christchurch,23,1,2,13,3,23.08,60.87,1,1,0,176.92,23
Ashton Agar,Manuka Oval,Canberra,13,1,1,13,8,61.54,76.92,1,1,0,100,13
Ashton Agar,Melbourne Cricket Ground,Melbourne,30,0,3,33,17,51.52,40,2,1,1,90.91,30
Ashton Agar,R Premadasa Stadium,Colombo,0,0,0,1,1,100,,1,1,0,0,0
Ashton Agar,Shere Bangla National Stadium,Dhaka,36,1,2,44,25,56.82,38.89,4,4,0,81.82,9
Ashton Agar,Sky Stadium,Wellington,6,0,0,7,1,14.29,0,1,1,0,85.71,6
Ashton Agar,The Rose Bowl,Southampton,43,0,3,38,10,26.32,27.91,3,1,2,113.16,43
Ashton Agar,University Oval,Dunedin,0,0,0,1,1,100,,1,1,0,0,0
Ashton Agar,Westpac Stadium,Wellington,0,0,0,3,4,133.33,,1,1,0,0,0
Alex Hales,Adelaide Oval,Adelaide,86,7,4,47,13,27.66,67.44,1,,,182.98,
Alex Hales,Brisbane Cricket Ground,Brisbane,52,1,7,40,18,45,65.38,1,1,0,130,52
Alex Hales,Gaddafi Stadium,Lahore,46,1,7,28,12,42.86,73.91,3,3,0,164.29,15.33
Alex Hales,Manuka Oval,Canberra,4,0,1,9,8,88.89,100,2,2,0,44.44,2
Alex Hales,Melbourne Cricket Ground,Melbourne,8,0,1,7,3,42.86,50,2,2,0,114.29,4
Alex Hales,National Stadium,Karachi,84,1,11,64,23,35.94,59.52,3,3,0,131.25,28
Alex Hales,Perth Stadium,Perth,103,4,12,71,32,45.07,69.9,2,2,0,145.07,51.5
Alex Hales,Sydney Cricket Ground,Sydney,47,1,7,30,14,46.67,72.34,1,1,0,156.67,47
Andre Russell,Adelaide Oval,Adelaide,37,2,4,16,5,31.25,75.68,1,1,0,231.25,37
Andre Russell,Bellerive Oval,Tasmania,1,0,0,2,1,50,0,1,1,0,50,1
Andre Russell,Brian Lara Stadium,Trinidad & Tobago,54,5,3,33,15,45.45,77.78,2,2,0,163.64,27
Andre Russell,Daren Sammy National Cricket Stadium,Saint Lucia,107,11,5,54,22,40.74,80.37,5,2,3,198.15,53.5
Andre Russell,Dubai International Cricket Stadium,Dubai,5,0,1,6,4,66.67,80,2,2,0,83.33,2.5
Andre Russell,Kensington Oval,Barbados,36,3,2,20,8,40,72.22,2,1,1,180,36
Andre Russell,National Cricket Stadium,Grenada,84,9,3,56,30,53.57,78.57,7,5,2,150,16.8
Andre Russell,Perth Stadium,Perth,71,7,4,29,8,27.59,81.69,1,1,0,244.83,71
Andre Russell,Zayed Cricket Stadium,Abu Dhabi,20,2,1,11,4,36.36,80,2,1,1,181.82,20
Andre Fletcher,Bay Oval,Mount Maunganui,24,2,1,17,11,64.71,66.67,2,,,141.18,
Andre Fletcher,Daren Sammy National Cricket Stadium,Saint Lucia,31,2,2,40,26,65,64.52,4,4,0,77.5,7.75
Andre Fletcher,Eden Park,Auckland,34,3,3,14,7,50,88.24,1,1,0,242.86,34
Andre Fletcher,National Cricket Stadium,Grenada,65,3,5,55,27,49.09,58.46,2,2,0,118.18,32.5
Andre Fletcher,Providence Stadium,Guyana,31,4,1,20,12,60,90.32,3,3,0,155,10.33
Adam Milne,Bay Oval,Mount Maunganui,6,1,0,5,5,100,100,1,1,0,120,6
Adam Milne,Eden Gardens,Kolkata,7,1,0,6,4,66.67,85.71,1,1,0,116.67,7
Adam Milne,Eden Park,Auckland,13,1,0,16,11,68.75,46.15,3,3,0,81.25,4.33
Adam Milne,Gaddafi Stadium,Lahore,3,0,0,5,3,60,0,1,1,0,60,3
Adam Milne,JSCA International Stadium Complex,Ranchi,5,0,0,4,1,25,0,1,,,125,
Adam Milne,John Davies Oval,Queenstown,0,0,0,1,1,100,,1,,,0,
Adam Milne,McLean Park,Napier,16,2,0,13,7,53.85,75,2,,,123.08,
Adam Milne,Old Trafford,Manchester,2,0,0,3,1,33.33,0,1,1,0,66.67,2
Adam Milne,Riverside Ground,Chester-le-Street,10,1,0,9,4,44.44,60,1,1,0,111.11,10
Adam Milne,Seddon Park,Hamilton,0,0,0,1,1,100,,1,1,0,0,0
Andries Gous,Prairie View Cricket Complex,Houston,111,7,9,72,29,40.28,70.27,3,3,0,154.17,37
Aaron Finch,Brisbane Cricket Ground,Brisbane,78,3,6,63,34,53.97,53.85,2,2,0,123.81,39
Aaron Finch,Carrara Oval,Carrara,58,0,6,53,21,39.62,41.38,1,1,0,109.43,58
Aaron Finch,Daren Sammy National Cricket Stadium,Saint Lucia,127,3,13,104,44,42.31,55.12,5,5,0,122.12,25.4
Aaron Finch,Dubai International Cricket Stadium,Dubai,126,6,12,100,47,47,66.67,5,5,0,126,25.2
Aaron Finch,Gaddafi Stadium,Lahore,55,0,6,45,16,35.56,43.64,1,1,0,122.22,55
Aaron Finch,Hagley Oval,Christchurch,1,0,0,2,1,50,0,1,1,0,50,1
Aaron Finch,Manuka Oval,Canberra,83,1,10,76,37,48.68,55.42,4,4,0,109.21,20.75
Aaron Finch,Melbourne Cricket Ground,Melbourne,10,0,0,17,10,58.82,0,2,2,0,58.82,5
Aaron Finch,Pallekele International Cricket Stadium,Pallekele,29,0,5,20,9,45,68.97,1,1,0,145,29
Aaron Finch,Perth Stadium,Perth,43,2,0,49,24,48.98,27.91,2,1,1,87.76,43
Aaron Finch,Punjab Cricket Association IS Bindra Stadium,Mohali,22,1,3,13,7,53.85,81.82,1,1,0,169.23,22
Aaron Finch,R Premadasa Stadium,Colombo,85,4,8,53,20,37.74,65.88,2,1,1,160.38,85
Aaron Finch,Rajiv Gandhi International Stadium,Hyderabad,7,0,1,6,2,33.33,57.14,1,1,0,116.67,7
Aaron Finch,Sky Stadium,Wellington,36,1,5,32,17,53.12,72.22,1,1,0,112.5,36
Aaron Finch,Sydney Cricket Ground,Sydney,46,1,4,45,22,48.89,47.83,4,4,0,102.22,11.5
Aaron Finch,The Rose Bowl,Southampton,125,4,15,91,42,46.15,67.2,3,3,0,137.36,41.67
Aaron Finch,University Oval,Dunedin,12,0,1,14,7,50,33.33,1,1,0,85.71,12
Aaron Finch,Vidarbha Cricket Association Stadium,Vidarbha,31,1,4,15,4,26.67,70.97,1,1,0,206.67,31
Aaron Finch,Westpac Stadium,Wellington,148,6,13,99,31,31.31,59.46,2,1,1,149.49,148
Aaron Finch,Zayed Cricket Stadium,Abu Dhabi,9,0,1,16,12,75,44.44,2,2,0,56.25,4.5
